                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.44081,                0.25781,                0.83488,                0.99959,                      1,                  0.995,                 0.9395,                0.38214,                0.21279,                0.82555,             0.00096286,             0.00096286,             0.00096286
                    130,                 0.4415,                0.25856,                0.84232,                      1,                      1,                  0.995,                0.93694,                0.38377,                0.21877,                 0.8254,             0.00095736,             0.00095736,             0.00095736
                    131,                0.43814,                0.25642,                0.83528,                0.99968,                      1,                  0.995,                0.93258,                0.38624,                0.21487,                0.82617,             0.00095186,             0.00095186,             0.00095186
                    132,                0.44851,                 0.2642,                0.83982,                0.99956,                      1,                  0.995,                0.93014,                0.39608,                 0.2162,                0.82825,             0.00094636,             0.00094636,             0.00094636
                    133,                0.44318,                0.25639,                0.83798,                0.99958,                      1,                  0.995,                0.92748,                0.40033,                0.22899,                0.83207,             0.00094085,             0.00094085,             0.00094085
                    134,                0.44676,                0.26219,                0.83595,                0.99966,                      1,                  0.995,                0.92939,                0.39215,                0.22138,                0.82743,             0.00093535,             0.00093535,             0.00093535
                    135,                0.43867,                0.25806,                0.83339,                0.99952,                      1,                  0.995,                 0.9333,                 0.3883,                0.21317,                0.82505,             0.00092985,             0.00092985,             0.00092985
                    136,                0.45227,                0.25896,                0.84237,                0.99967,                      1,                  0.995,                0.93027,                0.40245,                0.21256,                0.83099,             0.00092435,             0.00092435,             0.00092435
                    137,                0.44368,                0.26281,                0.83176,                0.99961,                      1,                  0.995,                0.93159,                0.38346,                0.21047,                0.82396,             0.00091885,             0.00091885,             0.00091885
                    138,                0.45124,                0.26629,                 0.8401,                0.99984,                      1,                  0.995,                 0.9301,                0.39745,                0.21664,                0.82757,             0.00091335,             0.00091335,             0.00091335
